ICEBERG_YEAR,ICEBERG_NUMBER,SIGHTING_DATE,SIGHTING_TIME,SIGHTING_LATITUDE,SIGHTING_LONGITUDE,SIGHTING_METHOD,SIZE,SHAPE,SOURCE
2003,1,2/20/2003,1200,51.77,-50.63,R/V,SM,DOM,JNIC
2003,2,2/22/2003,1833,51.75,-52.54,RAD,RAD,RAD,1504
2003,2,3/1/2003,1450,50.77,-52.07,VIS,SM,PIN,GCFR
2003,2,3/23/2003,1359,48.12,-47.59,RAD,SM,PIN,GPCD
2003,3,2/23/2003,1200,51.89,-52.04,RAD,RAD,RAD,BAPS
2003,3,3/1/2003,1450,50.92,-51.92,VIS,SM,NTB,GCFR
2003,4,2/23/2003,1800,51.95,-51.50,RAD,RAD,RAD,BAPS
2003,5,2/24/2003,600,51.97,-50.18,RAD,RAD,RAD,BAPS
2003,6,2/26/2003,1651,49.24,-49.92,RAD,RAD,RAD,GPCD
2003,7,2/26/2003,1925,49.91,-51.98,RAD,RAD,RAD,GPCD
2003,8,2/26/2003,1733,49.03,-51.95,RAD,RAD,RAD,1504
2003,8,3/20/2003,1915,46.75,-47.18,VIS,GR,TAB,1504
2003,9,2/26/2003,1627,48.90,-51.98,RAD,RAD,RAD,1504
2003,10,2/28/2003,1800,51.99,-52.87,R/V,SM,DD,BAPS
2003,10,3/1/2003,1735,51.82,-52.77,VIS,SM,NTB,GCFR
2003,11,2/28/2003,1800,51.97,-51.88,VIS,SM,NTB,BAPS
2003,12,3/1/2003,1800,51.98,-52.19,RAD,RAD,RAD,BAPS
2003,13,3/1/2003,1450,50.70,-52.07,VIS,SM,NTB,GCFR
2003,13,3/23/2003,1359,48.15,-47.72,RAD,SM,NTB,GPCD
2003,14,3/1/2003,1455,50.75,-52.20,VIS,MED,DD,GCFR
2003,14,3/21/2003,1908,48.57,-50.37,RAD,GEN,RAD,1504
2003,14,3/23/2003,1453,48.36,-49.94,R/V,LG,PIN,GPCD
2003,14,3/25/2003,1937,48.03,-49.43,R/V,MED,NTB,1504
2003,14,4/3/2003,2020,47.66,-47.40,R/V,MED,DD,GPCD
2003,15,3/1/2003,1455,51.05,-52.28,VIS,BB,NTB,GCFR
2003,16,3/1/2003,1500,50.75,-52.57,VIS,SM,NTB,GCFR
2003,17,3/1/2003,1500,50.68,-52.70,VIS,SM,NTB,GCFR
2003,17,3/21/2003,1751,48.75,-50.30,R/V,SM,DOM,1504
2003,17,3/25/2003,1930,47.95,-48.85,R/V,SM,NTB,1504
2003,17,3/30/2003,1331,47.63,-47.52,R/V,SM,DD,GPCD
2003,17,4/5/2003,1800,46.72,-46.70,RAD,GEN,GEN,1503
2003,18,3/1/2003,1500,50.93,-52.75,VIS,MED,NTB,GCFR
2003,18,3/16/2003,1305,49.67,-51.66,R/V,MED,DD,GPCD
2003,18,3/17/2003,1925,49.33,-51.42,R/V,MED,PIN,GPCD
2003,18,3/20/2003,1503,48.75,-50.73,VIS,LG,TAB,1504
2003,18,4/5/2003,835,47.17,-46.70,VIS,LG,GEN,ZCBD
2003,19,3/1/2003,1500,50.95,-52.95,VIS,SM,NTB,GCFR
2003,20,3/1/2003,1500,50.68,-53.05,VIS,SM,NTB,GCFR
2003,20,3/25/2003,1930,47.95,-48.87,R/V,SM,NTB,1504
2003,20,3/30/2003,1331,47.65,-47.52,R/V,SM,DD,GPCD
2003,21,3/1/2003,1517,50.95,-53.97,VIS,SM,NTB,GCFR
2003,21,3/16/2003,1248,49.22,-50.93,RAD,SM,NTB,GPCD
2003,21,3/17/2003,2009,49.08,-50.39,R/V,SM,GEN,GPCD
2003,21,3/21/2003,1452,48.20,-49.93,VIS,MED,NTB,1504
2003,21,3/25/2003,1930,47.95,-48.83,R/V,MED,DD,1504
2003,22,3/1/2003,1600,51.43,-54.27,R/V,MED,DOM,GCFR
2003,22,3/16/2003,1305,49.68,-51.66,R/V,MED,TAB,GPCD
2003,22,3/20/2003,1502,49.00,-50.93,R/V,LG,NTB,1504
2003,22,3/25/2003,1944,48.08,-50.04,R/V,LG,NTB,1504
2003,22,4/19/2003,2006,45.77,-47.78,RAD,GEN,GEN,1503
2003,22,4/21/2003,1335,45.50,-48.62,RAD,GEN,GEN,1503
2003,22,4/22/2003,1718,45.34,-48.70,RAD,GEN,GEN,1503
2003,22,4/28/2003,1000,44.03,-50.15,RAD,GEN,GEN,PDHW
2003,22,5/5/2003,1440,44.02,-49.03,R/V,GEN,GEN,C6QA
2003,22,5/16/2003,1320,40.60,-49.97,R/V,GEN,NTB,VRWM
2003,23,3/1/2003,1600,51.42,-54.17,R/V,BB,NTB,GCFR
2003,23,3/20/2003,1510,48.60,-50.07,R/V,SM,TAB,1504
2003,24,3/1/2003,1600,51.45,-54.12,R/V,SM,NTB,GCFR
2003,24,3/16/2003,1302,49.77,-51.73,R/V,SM,DOM,GPCD
2003,24,3/17/2003,1932,49.53,-51.47,R/V,SM,PIN,GPCD
2003,24,3/21/2003,1903,49.05,-51.30,R/V,MED,NTB,1504
2003,24,3/23/2003,1759,48.82,-50.69,R/V,MED,DD,GPCD
2003,24,4/3/2003,2020,47.71,-47.36,R/V,MED,DD,GPCD
2003,25,3/1/2003,1600,51.37,-54.27,VIS,BB,NTB,GCFR
2003,25,3/30/2003,1201,47.81,-49.23,RAD,BB,NTB,GPCD
2003,25,4/3/2003,2049,48.01,-48.03,R/V,GR,TAB,GPCD
2003,26,3/1/2003,1600,51.08,-53.93,VIS,SM,NTB,GCFR
2003,26,3/16/2003,1300,49.69,-51.49,R/V,SM,DD,GPCD
2003,26,3/17/2003,1938,49.55,-51.00,R/V,SM,DD,GPCD
2003,26,3/21/2003,1904,49.02,-50.59,R/V,MED,NTB,1504
2003,26,4/3/2003,1854,47.62,-47.02,R/V,MED,DD,GPCD
2003,26,4/5/2003,1712,47.35,-46.95,RAD,GEN,GEN,1503
2003,27,3/1/2003,1600,51.03,-53.92,VIS,SM,NTB,GCFR
2003,27,3/16/2003,1300,49.51,-51.52,R/V,SM,DD,GPCD
2003,27,3/17/2003,1926,49.30,-51.31,R/V,MED,BLK,GPCD
2003,27,3/20/2003,1503,48.72,-50.73,VIS,LG,DD,1504
2003,27,3/23/2003,1501,48.29,-50.51,R/V,MED,PIN,GPCD
2003,27,3/23/2003,1746,48.27,-50.49,R/V,MED,TAB,GPCD
2003,27,4/19/2003,1941,45.82,-46.80,R/V,MED,TAB,1503
2003,27,4/21/2003,1352,45.87,-46.57,R/V,LG,GEN,1503
2003,27,4/21/2003,1600,45.86,-46.58,R/V,MED,BLK,LARZ
2003,28,3/1/2003,1605,51.13,-53.50,R/V,BB,TAB,GCFR
2003,29,3/1/2003,1605,51.08,-53.43,R/V,LG,TAB,GCFR
2003,29,3/16/2003,1316,50.00,-52.10,R/V,MED,DOM,GPCD
2003,29,3/21/2003,1851,49.67,-51.71,R/V,MED,NTB,1504
2003,29,4/3/2003,2122,48.56,-49.06,R/V,MED,DD,GPCD
2003,29,4/8/2003,1755,48.30,-47.47,R/V,SM,DD,GPCD
2003,30,3/1/2003,1605,51.25,-53.42,VIS,BB,NTB,GCFR
2003,31,3/1/2003,1605,51.38,-53.30,VIS,BB,NTB,GCFR
2003,32,3/1/2003,1605,51.10,-53.12,VIS,SM,NTB,GCFR
2003,32,3/21/2003,1800,49.38,-50.30,VIS,SM,DD,1504
2003,33,3/1/2003,1605,51.33,-53.12,VIS,BB,NTB,GCFR
