ICEBERG_YEAR,ICEBERG_NUMBER,SIGHTING_DATE,SIGHTING_TIME,SIGHTING_LATITUDE,SIGHTING_LONGITUDE,SIGHTING_METHOD,SIZE,SHAPE,SOURCE
2009,1,12/4/2008,1354,59.12,-63.31,R/V,BB,TAB,GPCD
2009,2,1/8/2009,1809,57.58,-61.32,R/V,MED,DD,GPCD
2009,2,12/7/2008,139,60.60,-59.75,SAT-LOW,RAD,RAD,ENVI
2009,3,1/8/2009,1248,55.78,-59.72,R/V,LG,DD,GPCD
2009,3,12/7/2008,139,59.56,-61.36,SAT-LOW,RAD,RAD,ENVI
2009,4,1/8/2009,1806,57.71,-61.35,R/V,MED,TAB,GPCD
2009,4,3/2/2009,1630,55.07,-57.79,R/V,MED,TAB,GPCD
2009,5,1/8/2009,1805,57.74,-61.36,R/V,LG,DD,GPCD
2009,6,1/8/2009,1757,58.08,-61.60,R/V,MED,DD,GPCD
2009,7,1/28/2009,1243,54.24,-55.66,R/V,MED,DD,GPCD
2009,8,1/28/2009,1248,54.44,-55.53,R/V,MED,DD,GPCD
2009,9,1/28/2009,1249,54.49,-55.51,R/V,MED,DD,GPCD
2009,10,1/28/2009,1249,54.50,-55.50,R/V,MED,TAB,GPCD
2009,11,1/28/2009,1255,54.54,-55.77,R/V,LG,DD,GPCD
2009,12,1/28/2009,1606,54.76,-56.90,R/V,MED,WDG,GPCD
2009,13,1/28/2009,1607,55.18,-56.99,R/V,SM,DD,GPCD
2009,14,1/28/2009,1611,54.96,-56.89,R/V,SM,DD,GPCD
2009,15,1/28/2009,1612,54.98,-56.93,R/V,MED,WDG,GPCD
2009,16,1/28/2009,1618,55.19,-57.00,R/V,LG,DD,GPCD
2009,16,3/1/2009,1730,52.49,-55.48,R/V,LG,DD,GPCD
2009,17,1/28/2009,1625,55.20,-57.39,R/V,LG,DD,GPCD
2009,18,1/28/2009,1631,55.34,-57.37,R/V,LG,DD,GPCD
2009,19,1/28/2009,1634,55.39,-57.53,R/V,MED,TAB,GPCD
2009,20,1/28/2009,1658,56.07,-58.08,R/V,MED,TAB,GPCD
2009,21,1/28/2009,1700,56.07,-58.05,R/V,LG,DD,GPCD
2009,21,3/1/2009,1733,52.46,-55.19,R/V,LG,DD,GPCD
2009,22,1/28/2009,1709,56.12,-58.53,R/V,LG,TAB,GPCD
2009,22,3/1/2009,1553,53.26,-55.07,R/V,SM,TAB,GPCD
2009,23,1/28/2009,1712,55.89,-58.72,R/V,MED,DD,GPCD
2009,24,1/28/2009,1719,56.35,-58.86,R/V,MED,WDG,GPCD
2009,25,1/28/2009,1723,56.29,-59.09,R/V,LG,DD,GPCD
2009,25,3/1/2009,1650,52.74,-55.53,R/V,MED,DD,GPCD
2009,26,1/28/2009,1730,56.64,-58.71,R/V,LG,DD,GPCD
2009,26,3/1/2009,1535,53.50,-54.98,R/V,LG,BLK,GPCD
2009,27,1/28/2009,1732,56.50,-58.39,R/V,MED,DD,GPCD
2009,28,1/28/2009,1740,56.89,-58.94,R/V,LG,DD,GPCD
2009,28,3/1/2009,1535,53.57,-55.48,R/V,LG,DD,GPCD
2009,29,1/28/2009,1744,56.62,-58.44,R/V,MED,DD,GPCD
2009,30,1/28/2009,1750,56.95,-59.03,R/V,MED,TAB,GPCD
2009,31,1/28/2009,1751,56.73,-58.94,R/V,MED,TAB,GPCD
2009,32,1/28/2009,1754,56.88,-58.98,R/V,SM,DD,GPCD
2009,33,1/28/2009,1755,57.15,-58.96,R/V,LG,DD,GPCD
2009,33,3/1/2009,1349,54.17,-55.35,R/V,LG,DD,GPCD
2009,34,1/28/2009,1755,57.09,-59.09,R/V,MED,DD,GPCD
2009,35,1/28/2009,1755,57.19,-59.15,R/V,LG,DD,GPCD
2009,35,3/1/2009,1353,54.53,-55.35,R/V,LG,DD,GPCD
2009,36,1/28/2009,1756,57.01,-58.98,R/V,MED,DD,GPCD
2009,37,1/28/2009,1811,57.06,-60.32,R/V,LG,DD,GPCD
2009,38,1/28/2009,1834,57.54,-60.91,R/V,SM,WDG,GPCD
2009,39,1/28/2009,1849,56.47,-59.79,R/V,LG,DD,GPCD
2009,40,1/28/2009,1907,56.23,-59.73,R/V,MED,DD,GPCD
2009,41,2/7/2009,1755,51.79,-50.09,VIS,GR,NTB,2001
2009,42,2/7/2009,1804,52.28,-50.52,VIS,SM,NTB,2001
2009,43,2/7/2009,1830,52.58,-51.34,VIS,SM,NTB,2001
2009,44,2/7/2009,1748,51.42,-49.64,VIS,GR,NTB,2001
2009,45,2/7/2009,1751,51.55,-49.72,VIS,GR,NTB,2001
2009,46,2/7/2009,1752,51.63,-49.79,VIS,GR,NTB,2001
2009,47,2/7/2009,1753,51.67,-49.81,VIS,GR,NTB,2001
2009,48,2/7/2009,1754,51.70,-49.82,VIS,GR,NTB,2001
2009,49,2/7/2009,1754,51.73,-49.87,VIS,GR,NTB,2001
2009,50,2/7/2009,1756,51.82,-49.93,VIS,GR,NTB,2001
2009,51,2/7/2009,1758,51.93,-50.03,VIS,GR,NTB,2001
2009,52,2/7/2009,1802,52.13,-50.22,VIS,GR,NTB,2001
2009,53,2/7/2009,1808,52.48,-50.56,VIS,GR,NTB,2001
2009,54,2/7/2009,1824,52.92,-51.68,VIS,GR,NTB,2001
2009,55,2/7/2009,1826,52.87,-51.68,VIS,MED,NTB,2001
2009,56,2/7/2009,1827,52.83,-51.65,VIS,MED,NTB,2001
2009,57,2/7/2009,1832,52.48,-51.39,VIS,LG,NTB,2001
2009,58,2/7/2009,1833,52.47,-51.45,VIS,LG,NTB,2001
2009,59,2/7/2009,1833,52.40,-51.32,VIS,LG,NTB,2001
2009,60,2/7/2009,1834,52.33,-51.28,VIS,MED,NTB,2001
2009,61,2/7/2009,1835,52.30,-51.25,VIS,GR,NTB,2001
2009,62,2/7/2009,1837,52.17,-51.08,VIS,SM,NTB,2001
2009,63,2/7/2009,1837,52.13,-51.13,VIS,LG,NTB,2001
2009,64,2/7/2009,1838,52.10,-51.03,VIS,MED,NTB,2001
2009,65,2/7/2009,1838,52.07,-51.09,VIS,MED,NTB,2001
2009,66,2/7/2009,1839,52.02,-51.04,VIS,MED,NTB,2001
2009,67,2/7/2009,1841,51.88,-50.88,VIS,MED,NTB,2001
2009,68,2/7/2009,1842,51.82,-50.81,VIS,MED,NTB,2001
2009,69,2/7/2009,1843,51.75,-50.83,VIS,LG,NTB,2001
2009,70,2/7/2009,1843,51.72,-50.80,VIS,MED,NTB,2001
2009,71,2/7/2009,1845,51.59,-50.57,VIS,GR,NTB,2001
2009,72,2/7/2009,1846,51.57,-50.66,VIS,LG,NTB,2001
2009,73,2/7/2009,1847,51.44,-50.44,VIS,SM,NTB,2001
2009,74,2/7/2009,1848,51.40,-50.42,VIS,MED,NTB,2001
2009,75,2/7/2009,1849,51.37,-50.41,VIS,MED,NTB,2001
2009,76,2/7/2009,1850,51.32,-50.41,VIS,MED,NTB,2001
2009,77,2/16/2009,1443,49.07,-50.00,R/V,BB,DD,GPCD
2009,78,2/16/2009,1322,50.52,-52.35,R/V,SM,TAB,GPCD
2009,78,2/23/2009,1944,49.90,-52.03,VIS,SM,NTB,2001
2009,78,2/28/2009,2115,49.72,-51.63,RAD,SM,NTB,GPCD
2009,78,3/5/2009,1517,49.54,-51.20,R/V,SM,DD,GPCD
2009,78,3/11/2009,1347,49.04,-50.35,VIS,MED,NTB,2006
2009,78,3/14/2009,1552,48.35,-49.18,R/V,MED,DD,GPCD
2009,78,3/15/2009,1639,48.20,-48.85,R/V,LG,DD,GPCD
2009,79,2/16/2009,1343,50.45,-54.25,R/V,LG,PIN,GPCD
2009,79,2/28/2009,2128,49.11,-52.00,R/V,LG,DD,GPCD
2009,79,3/9/2009,2031,48.61,-49.48,R/V,MED,NTB,2006
2009,79,3/10/2009,1454,48.43,-49.27,R/V,MED,TAB,GPCD
2009,79,3/11/2009,1555,48.13,-48.78,R/V,MED,TAB,GPCD
2009,79,3/17/2009,1110,47.48,-46.95,R/V,MED,DD,GPCD
2009,79,3/18/2009,1146,47.18,-46.80,R/V,MED,DD,GPCD
2009,79,3/30/2009,1826,46.93,-47.07,R/V,MED,DOM,GPCD
2009,80,2/16/2009,1405,50.41,-54.85,R/V,LG,PIN,GPCD
2009,81,2/16/2009,1423,50.69,-53.75,R/V,MED,DD,GPCD
2009,81,2/28/2009,2121,49.10,-52.42,RAD,MED,DD,GPCD
2009,81,3/5/2009,1455,49.25,-51.73,R/V,LG,PIN,GPCD
2009,81,3/10/2009,1637,48.71,-50.21,R/V,MED,TAB,GPCD
2009,81,3/11/2009,1733,48.40,-50.13,R/V,VLG,DOM,2006
2009,81,3/13/2009,1245,48.20,-49.88,R/V,LG,PIN,GPCD
2009,81,3/17/2009,1012,47.79,-48.84,R/V,LG,DD,GPCD
2009,81,3/18/2009,1230,47.55,-48.80,R/V,MED,DD,GPCD
2009,81,3/19/2009,1246,47.46,-48.66,R/V,SM,TAB,GPCD
2009,81,3/29/2009,1942,46.78,-48.05,R/V,GR,DOM,GPCD
2009,82,2/16/2009,1427,50.76,-53.47,R/V,SM,TAB,GPCD
2009,82,2/23/2009,1933,49.66,-52.46,VIS,SM,PIN,2001
2009,82,2/28/2009,2107,49.31,-51.23,R/V,LG,DD,GPCD
2009,82,3/5/2009,1539,49.57,-50.22,R/V,LG,DD,GPCD
2009,82,3/9/2009,2122,48.93,-49.57,VIS,LG,WDG,2006
2009,82,3/17/2009,1058,47.47,-47.44,R/V,LG,DD,GPCD
