ICEBERG_YEAR,ICEBERG_NUMBER,SIGHTING_DATE,SIGHTING_TIME,SIGHTING_LATITUDE,SIGHTING_LONGITUDE,SIGHTING_METHOD,SIZE,SHAPE,SOURCE
2012,1,1/4/2012,1200,59.00,-61.50,SAT-MED,RAD,RAD,CWIS
2012,2,1/13/2012,1900,55.28,-57.05,VIS,SM,GEN,VCLM
2012,2,1/27/2012,1626,53.51,-53.35,R/V,MED,DD,GGAO
2012,2,2/6/2012,1627,51.80,-52.45,RAD,MED,DD,2005
2012,3,1/14/2012,1700,59.31,-61.46,VIS,GEN,GEN,VCLM
2012,3,2/3/2012,1500,57.15,-59.53,R/V,GEN,GEN,VCLM
2012,3,2/23/2012,1419,55.08,-56.56,R/V,GEN,BLK,XJAR
2012,3,3/5/2012,1942,53.46,-55.59,RAD,LG,WDG,GMWR
2012,3,3/6/2012,1449,53.26,-55.69,RAD,LG,DD,BKNL
2012,3,3/21/2012,1450,51.93,-55.46,R/V,LG,TAB,GGAO
2012,3,4/3/2012,1510,51.77,-55.72,VIS,SM,TAB,CGSB
2012,3,4/7/2012,1350,51.66,-56.03,VIS,BB,TAB,CGSB
2012,3,4/20/2012,1930,51.57,-56.48,R/V,BB,TAB,CGSB
2012,4,1/14/2012,1700,59.29,-61.41,VIS,GEN,GEN,VCLM
2012,5,1/14/2012,1700,59.29,-61.41,VIS,GEN,GEN,VCLM
2012,5,2/3/2012,1300,57.37,-59.72,R/V,GEN,GEN,VCLM
2012,5,2/23/2012,1419,56.88,-59.18,R/V,GEN,TAB,XJAR
2012,5,3/2/2012,1938,56.10,-58.01,VIS,MED,NTB,2003
2012,6,1/27/2012,1519,55.20,-55.92,R/V,GEN,GEN,GGAO
2012,6,2/6/2012,1852,54.03,-54.52,R/V,MED,PIN,2005
2012,6,3/6/2012,1241,51.75,-54.72,RAD,LG,TAB,BKNL
2012,6,3/6/2012,1557,51.68,-54.48,R/V,MED,DD,GMWR
2012,6,4/5/2012,1449,48.17,-52.45,R/V,MED,TAB,GMWR
2012,6,4/16/2012,1749,47.95,-51.95,R/V,MED,DD,GGAO
2012,6,4/18/2012,1014,48.13,-51.79,R/V,GEN,GEN,GGAO
2012,6,4/20/2012,1351,48.28,-51.91,R/V,GEN,GEN,GPGR
2012,6,4/21/2012,1526,48.30,-51.89,R/V,MED,WDG,GPGR
2012,7,1/27/2012,1524,55.06,-57.09,R/V,GEN,GEN,GGAO
2012,7,2/6/2012,1934,53.42,-55.02,R/V,MED,NTB,2005
2012,7,2/15/2012,1844,52.77,-53.87,R/V,MED,DD,GTJZ
2012,7,2/21/2012,1246,51.98,-53.96,R/V,MED,NTB,VRVQ
2012,7,3/15/2012,1617,48.74,-52.86,R/V,SM,WDG,CGHL
2012,7,3/18/2012,1939,48.36,-52.93,VIS,SM,NTB,2004
2012,7,3/24/2012,1001,47.74,-52.49,R/V,SM,DD,GGAO
2012,7,3/25/2012,1053,47.51,-52.38,R/V,GEN,GEN,GGAO
2012,7,3/26/2012,1434,47.53,-52.39,R/V,SM,DD,GGAO
2012,7,3/28/2012,1426,47.56,-52.09,R/V,GEN,GEN,GGAO
2012,8,1/27/2012,1548,54.65,-55.51,R/V,GEN,GEN,GGAO
2012,8,2/6/2012,1932,53.52,-54.85,R/V,MED,NTB,2005
2012,8,2/15/2012,1847,52.82,-54.10,R/V,MED,DD,GTJZ
2012,8,2/21/2012,1210,52.31,-53.84,R/V,MED,NTB,VRVQ
2012,8,2/22/2012,1434,52.05,-53.69,R/V,LG,TAB,GTJZ
2012,9,1/27/2012,1549,54.53,-54.40,R/V,GEN,GEN,GGAO
2012,9,2/6/2012,1800,53.72,-54.10,RAD,MED,NTB,2005
2012,9,3/6/2012,1225,51.18,-54.40,RAD,LG,TAB,BKNL
2012,9,3/6/2012,1612,51.56,-55.23,R/V,LG,DD,GMWR
2012,9,3/14/2012,1049,50.57,-54.19,RAD,LG,TAB,GMWR
2012,9,3/26/2012,1854,48.35,-52.19,R/V,LG,TAB,GGAO
2012,10,1/28/2012,1036,59.45,-61.58,SAT-HIGH,VLG,RAD,RSA2
2012,11,1/28/2012,1036,59.33,-61.35,SAT-HIGH,VLG,RAD,RSA2
2012,12,9/1/2012,2134,56.56,-59.34,SAT-HIGH,RAD,RAD,RSA2
2012,12,9/4/2012,2146,56.20,-59.11,SAT-HIGH,VLG,GEN,RSA2
2012,12,9/11/2012,2142,56.32,-59.14,SAT-LOW,VLG,GEN,RSA2
2012,13,9/1/2012,2134,56.21,-59.11,SAT-HIGH,RAD,RAD,RSA2
2012,13,9/4/2012,2146,55.85,-58.74,SAT-LOW,SM,GEN,RSA2
2012,14,9/4/2012,2146,57.23,-59.83,SAT-HIGH,VLG,GEN,RSA2
