ICEBERG YEAR,ICEBERG NUMBER,"SIGHTING
DATE","SIGHTING
TIME","SIGHTING
LATITUDE","SIGHTING
LONGITUDE","SIGHTING
METHOD",SIZE,SHAPE,SOURCE
2018,15,10/9/2017,1342,55.192,-55.508,R/V,SM,GEN,GTJZ
2018,16,10/12/2017,2140,56.897,-59.563,SAT-HIGH,RAD,GEN,SN1B
2018,5,10/15/2017,2200,55.288,-56.422,SAT-HIGH,RAD,RAD,RSA2
2018,18,10/18/2017,2140,56.478,-58.318,SAT-HIGH,MED,GEN,SNL1
2018,19,10/18/2017,2140,56.210,-58.033,SAT-HIGH,MED,GEN,SNL1
2018,17,10/18/2017,2140,56.500,-58.363,SAT-HIGH,MED,GEN,SNL1
2018,15,10/20/2017,2124,53.942,-53.003,SAT-HIGH,RAD,GEN,SN1A
2018,8,10/24/2017,2140,56.423,-58.487,SAT-HIGH,SM,GEN,SN1B
2018,6,10/24/2017,2140,56.407,-58.508,SAT-HIGH,MED,GEN,SN1B
2018,7,10/24/2017,2140,57.237,-60.052,SAT-HIGH,MED,GEN,SN1B
2018,20,10/24/2017,2140,58.282,-60.765,SAT-HIGH,LG,GEN,SN1B
2018,21,10/24/2017,2140,56.255,-60.203,SAT-HIGH,MED,GEN,SN1B
2018,22,10/24/2017,2140,56.862,-59.550,SAT-HIGH,LG,GEN,SN1B
2018,15,10/28/2017,1152,52.872,-51.778,R/V,LG,GEN,GTJZ
2018,23,10/28/2017,1204,52.245,-53.602,VIS,SM,GEN,GTJZ
2018,24,10/28/2017,1207,52.163,-53.567,VIS,MED,GEN,GTJZ
2018,26,10/30/2017,2155,59.832,-62.470,SAT-HIGH,RAD,RAD,RSA2
2018,25,10/30/2017,2155,56.233,-60.512,SAT-HIGH,RAD,RAD,RSA2
2018,20,10/30/2017,2155,58.280,-60.775,SAT-HIGH,RAD,RAD,RSA2
2018,22,10/30/2017,2155,56.868,-59.590,SAT-HIGH,RAD,RAD,RSA2
2018,21,10/30/2017,2155,56.205,-60.188,SAT-HIGH,RAD,RAD,RSA2
2018,8,10/30/2017,2155,56.215,-58.123,SAT-HIGH,RAD,RAD,RSA2
