a1,a2,ub_a1,lb_a1,ub_a2,lb_a2,cet_r,bst_r,pos_r
10262,10262,1,1,10262,10262,1,1,1
28097,28097,1,1,28097,28097,1,1,1
28040,28040,1,1,28040,28040,1,1,1
12024,12024,1,1,12024,12024,1,1,1
19494,19494,1,1,19494,19494,1,1,1
26440,26440,1,1,26440,26440,1,1,1
17816,17816,1,1,17816,17816,1,1,1
5971,5971,1,1,5971,5971,1,1,1
10362,10362,1,1,10362,10362,1,1,1
8761,8761,1,1,8761,8761,1,1,1
29012,29012,1,1,29012,29012,1,1,1
21943,21943,1,1,21943,21943,1,1,1
6557,6557,1,1,6557,6557,1,1,1
7216,7216,1,1,7216,7216,1,1,1
19484,19484,1,1,19484,19484,1,1,1
6808,6808,1,1,6808,6808,1,1,1
3184,3184,1,1,3184,3184,1,1,1
5729,5729,1,1,5729,5729,1,1,1
10696,10696,1,1,10696,10696,1,1,1
18600,18600,1,1,18600,18600,1,1,1
29717,29717,1,1,29717,29717,1,1,1
22195,22195,1,1,22195,22195,1,1,1
20728,20728,1,1,20728,20728,1,1,1
2797,2797,1,1,2797,2797,1,1,1
17025,17025,1,1,17025,17025,1,1,1
23528,23528,1,1,23528,23528,1,1,1
29325,29325,1,1,29325,29325,1,1,1
11255,11255,1,1,11255,11255,1,1,1
16928,16928,1,1,16928,16928,1,1,1
28146,28146,1,1,28146,28146,1,1,1
14607,14607,1,1,14607,14607,1,1,1
15642,15642,1,1,15642,15642,1,1,1
12024,12024,1,1,12024,12024,1,1,1
13418,13418,1,1,13418,13418,1,1,1
15114,15114,1,1,15114,15114,1,1,1
6208,6208,1,1,6208,6208,1,1,1
7331,7331,1,1,7331,7331,1,1,1
19049,19049,1,1,19049,19049,1,1,1
20177,20177,1,1,20177,20177,1,1,1
5636,5636,1,1,5636,5636,1,1,1
16967,16967,1,1,16967,16967,1,1,1
4863,4863,1,1,4863,4863,1,1,1
1476,1476,1,1,1476,1476,1,1,1
17650,17650,1,1,17650,17650,1,1,1
19832,19832,1,1,19832,19832,1,1,1
5783,5783,1,1,5783,5783,1,1,1
24472,24472,1,1,24472,24472,1,1,1
15401,15401,1,1,15401,15401,1,1,1
4265,4265,1,1,4265,4265,1,1,1
19132,19132,1,1,19132,19132,1,1,1
16947,16947,1,1,16947,16947,1,1,1
24375,24375,1,1,24375,24375,1,1,1
21896,21896,1,1,21896,21896,1,1,1
13806,13806,1,1,13806,13806,1,1,1
9927,9927,1,1,9927,9927,1,1,1
28313,28313,1,1,28313,28313,1,1,1
6077,6077,1,1,6077,6077,1,1,1
2188,2188,1,1,2188,2188,1,1,1
22865,22865,1,1,22865,22865,1,1,1
12982,12982,1,1,12982,12982,1,1,1
25302,25302,1,1,25302,25302,1,1,1
24180,24180,1,1,24180,24180,1,1,1
6565,6565,1,1,6565,6565,1,1,1
21225,21225,1,1,21225,21225,1,1,1
11460,11460,1,1,11460,11460,1,1,1
14214,14214,1,1,14214,14214,1,1,1
14529,14529,1,1,14529,14529,1,1,1
28402,28402,1,1,28402,28402,1,1,1
7902,7902,1,1,7902,7902,1,1,1
12795,12795,1,1,12795,12795,1,1,1
4587,4587,1,1,4587,4587,1,1,1
21861,21861,1,1,21861,21861,1,1,1
28719,28719,1,1,28719,28719,1,1,1
28780,28780,1,1,29780,28780,1,1,1
8590,8590,1,1,8590,8590,1,1,1
8800,8800,1,1,8800,8800,1,1,1
20531,20531,1,1,20531,20531,1,1,1
15787,15787,1,1,15787,15787,1,1,1
28517,28517,1,1,28517,28517,1,1,1
19577,19577,1,1,19577,19577,1,1,1
3807,3807,1,1,3807,3807,1,1,1
1381,1381,1,1,1381,1381,1,1,1
4490,4490,1,1,4490,4490,1,1,1
