id,a1,a2
0,17702,12482
1,13363,24449
2,34803,23015
3,31849,16659
4,19605,15073
5,15919,4684
6,46016,33441
7,29222,6063
8,21026,46085
9,29628,3577
10,18737,49388
11,35577,37653
12,12685,10054
13,22766,1023
14,45739,37950
15,29191,30343
16,49871,33921
17,39639,44559
18,26136,15529
19,34996,43047
20,44128,45126
21,38050,40685
22,19405,5413
23,38738,7583
24,7837,39846
25,7459,18041
26,22742,3332
27,25128,22318
28,9265,44474
29,30500,43846
30,17682,16303
31,26323,18165
32,31047,606
33,49317,28715
34,22079,3662
35,48308,43838
36,47734,6468
37,36329,36204
38,43772,10840
39,32962,28587
40,42134,27768
41,33454,29805
42,35251,43912
43,3814,5671
44,11356,19380
45,16657,18081
46,28075,42970
47,33505,2627
48,19180,38796
49,47629,27234
50,40016,31983
51,26855,15215
52,40618,22998
53,36136,41189
54,24721,17510
55,32414,43156
56,45897,44155
57,16870,12374
58,48454,49356
59,38447,46303
60,11370,37905
61,45056,28625
62,3401,26984
63,15382,16341
64,44964,37165
65,35954,11055
66,x66,y66
67,32684,32056
68,31197,14895
69,4766,21957
70,37446,48987
71,4840,39961
72,20753,38030
73,3821,45701
74,5612,32623
75,14741,9965
76,39632,32
77,13462,13740
78,41170,28165
79,37235,18276
80,14212,14739
81,35452,3469
82,15583,40397
83,1585,40671
84,9339,49725
85,8276,34755
86,40744,33802
87,11630,15958
88,49968,40700
89,9535,17247
90,17922,33263
91,33261,1233
92,38256,1245
93,4186,16560
94,47768,10132
95,6195,6484
96,10708,29220
97,35321,23859
98,14659,2189
99,27704,4456
100,6467,29425
101,22475,36661
102,x102,y102
103,15602,48643
104,35256,4000
105,1072,39716
106,3025,9460
107,4483,39496
108,45379,2008
109,23221,49358
110,48845,22195
111,36027,33788
112,5334,28523
113,42273,43793
114,26462,21151
115,42242,30151
116,43668,17490
117,7746,38976
118,19323,8451
119,13603,17655
120,25091,27117
121,4411,14987
122,7126,39996
123,9870,10573
124,31031,8506
125,7668,19938
126,25011,10456
127,15449,15712
128,16054,46166
129,32629,25151
130,35218,43782
131,23741,1109
132,24537,14347
133,18378,43102
134,21722,10051
135,31635,6369
136,1702,44489
137,13948,47152
138,13099,43374
139,1903,41860
140,2521,36554
141,41934,5204
142,37952,37526
143,39095,6447
144,34551,48530
145,36762,31000
146,9182,39089
147,34283,8167
148,40478,5084
149,27259,17437
150,40982,18221
151,7366,48241
152,36903,37527
153,8101,34001
154,42817,4175
155,24980,19135
156,48350,27632
157,2035,44622
158,10723,13556
159,26189,487
160,31107,30951
161,45588,45018
162,11917,38373
163,13779,42371
164,x164,y164
165,x165,y165
166,34293,13329
167,3252,20964
168,4827,23625
169,41847,2469
170,35840,11850
171,44073,33808
172,9922,11309
173,31399,41998
174,24749,43097
175,15918,26638
176,30720,13654
177,31427,10776
178,35787,15564
179,46892,46463
180,37684,41756
181,23922,41197
182,18954,8629
183,12476,801
184,20106,19192
185,40654,11538
186,35867,42579
187,45477,21690
188,2746,14268
189,x189,y189
190,32843,10919
191,18128,34125
192,18090,17718
193,29935,31662
194,3463,34013
195,83,36846
196,15316,4630
197,12040,5106
198,48057,42040
199,32028,4896
200,8464,28716
201,15095,14686
202,17160,23038
203,28061,25582
204,17098,10918
205,39725,44372
206,41644,45015
207,39391,37518
208,33595,10689
209,9595,4796
210,x210,y210
211,4354,7474
212,14054,40235
213,10452,11801
214,49739,27210
215,2236,34746
216,40497,22151
217,265,30352
218,20053,16850
219,33200,2529
220,42682,47821
221,37017,2402
222,22479,13454
223,24155,25197
224,49897,8802
225,35647,25411
226,18614,15972
227,10578,46057
228,47156,19001
229,42101,13636
230,37197,10658
231,34462,37454
232,15192,48990
233,13317,43634
234,31021,44804
235,21336,29880
236,5528,18625
237,16572,36408
238,3310,26128
239,20476,47375
240,43372,33680
241,37303,18559
242,25784,10765
243,24050,931
244,43228,8766
245,20949,23340
246,33041,5754
247,17637,9525
248,30324,41598
249,9667,1883
250,22273,15735
251,2202,40772
252,42128,28632
253,11846,47557
254,49788,17576
255,x255,y255
256,17434,40178
257,30749,4095
258,25605,21981
259,2822,9642
260,25927,40726
261,48961,2496
262,22899,1405
263,46262,21840
264,49345,35838
265,15846,43438
266,1062,14909
267,47718,14118
268,30677,5030
269,39823,49279
270,5606,32151
271,36892,33930
272,17547,31881
273,2248,34174
274,8498,25033
275,43290,27249
276,46055,37935
277,14051,34879
278,16762,31829
279,41088,32400
280,27486,46213
281,46736,6595
282,36496,19071
283,29152,44964
284,18566,22593
285,4802,6326
286,37355,20481
287,x287,y287
288,28713,159
289,49141,15444
290,12907,10815
291,220,32355
292,x292,y292
293,2637,6736
294,12947,26573
295,39182,46669
296,2115,16871
297,7959,34642
298,22634,46452
299,4275,41057
300,24924,24535
301,49295,49055
302,5428,2158
303,9024,48584
304,13312,21662
305,25834,26566
306,48943,41655
307,18282,27848
308,14221,4878
309,35096,31295
310,3765,49167
311,46564,31496
312,3841,37856
313,19242,12628
314,46232,40165
315,10805,24835
316,6271,44710
317,39008,26464
318,27502,14972
319,36825,8691
320,22199,24381
321,23524,4509
322,20950,30745
323,10826,43695
324,10989,41335
325,10927,1951
326,x326,y326
327,6720,625
328,20705,29513
329,47017,12214
330,33505,44212
331,32107,43941
332,46595,19694
333,227,48203
334,8522,23844
335,30112,37773
336,38059,43282
337,31954,40270
338,8238,36601
339,35648,24879
340,17939,8809
341,24658,43811
342,2568,18375
343,17713,18681
344,12075,34954
345,27075,6593
346,48839,48159
347,34016,350
348,45357,46228
349,37543,30973
350,21879,22892
351,18480,10988
352,32562,26476
353,35095,40364
354,6530,23863
355,9091,9598
356,24568,37198
357,30373,14470
358,45751,25706
359,x359,y359
360,2503,38320
361,24259,6578
362,328,45779
363,40181,29870
364,9545,2675
365,28764,30437
366,40770,34009
367,4251,16145
368,23424,35758
369,26900,24034
370,39903,31186
371,4613,9390
372,35257,21776
373,9748,42116
374,30152,28185
375,47743,46191
376,38483,30728
377,48444,34761
378,49654,39923
379,x379,y379
380,48590,25539
381,2110,43572
382,675,5706
383,40228,48634
384,25670,20835
385,21024,27318
386,48347,29602
387,29154,15883
388,11174,5826
389,39828,19666
390,13692,4111
391,18354,47516
392,38048,10646
393,8969,37807
394,47090,14076
395,41710,45189
396,28627,23160
397,17634,2174
398,11695,11960
399,24155,25754
400,25926,13439
401,26326,19961
